lambda	alpha	fdr	power	theta	maf	depth
1.35	0.01	0.0042	0.7097	0.67	0.5	10000
1.5	0.1	0.0919	0.34	0.67	0.1	10000
1.6	0.05	0.0488	0.1967	0.67	0.1	10000
1.25	0.1	0.0811	0.8333	0.67	0.5	1000
1.25	0.05	0.0375	0.7165	0.67	0.5	1000
1.25	0.01	0.0092	0.4854	0.67	0.5	1000
1.55	0.1	0.0974	0.1362	0.67	0.1	1000
1.7	0.05	0.0329	0.0412	0.67	0.1	1000
1.95	0.01	0.0	0.0018	0.67	0.1	1000
1.25	0.1	0.0858	0.1076	0.67	0.5	100
1.3	0.05	0.0351	0.022	0.67	0.5	100
1.25	0.01	0.0	0.0054	0.67	0.5	100
1.9	0.05	-1	-1	0.67	0.1	100
1.45	0.01	-1	-1	0.67	0.1	100
1.9	0.05	-1	-1	0.67	0.05	100
1.3	0.01	-1	-1	0.67	0.05	100
1.95	0.1	-1	-1	0.67	0.01	100
1.85	0.05	-1	-1	0.67	0.01	100
1.35	0.01	-1	-1	0.67	0.01	100
1.45	0.1	0.097	1.0	0.5	0.5	50000
1.45	0.05	0.0463	1.0	0.5	0.5	50000
1.45	0.01	0.007	1.0	0.5	0.5	50000
1.45	0.1	0.0882	0.8939	0.5	0.1	50000
1.55	0.05	0.0332	0.7772	0.5	0.1	50000
1.7	0.01	0.0079	0.5788	0.5	0.1	50000
1.75	0.1	0.0968	0.459	0.5	0.05	50000
1.4	0.1	0.0997	1.0	0.5	0.5	10000
1.45	0.05	0.0455	1.0	0.5	0.5	10000
1.45	0.01	0.0067	0.9994	0.5	0.5	10000
1.45	0.1	0.0931	0.8733	0.5	0.1	10000
1.5	0.05	0.0475	0.7855	0.5	0.1	10000
1.65	0.01	0.007	0.5503	0.5	0.1	10000
1.7	0.1	0.0965	0.4802	0.5	0.05	10000
1.95	0.05	0.0389	0.2468	0.5	0.05	10000
1.4	0.1	0.0902	0.9989	0.5	0.5	1000
1.4	0.05	0.0322	0.9946	0.5	0.5	1000
1.35	0.01	0.0042	0.9695	0.5	0.5	1000
1.45	0.1	0.0805	0.6833	0.5	0.1	1000
1.45	0.05	0.0441	0.5641	0.5	0.1	1000
1.55	0.01	0.0055	0.2334	0.5	0.1	1000
1.7	0.1	0.0995	0.2761	0.5	0.05	1000
1.2	0.1	0.0736	0.5779	0.5	0.5	100
1.15	0.05	0.0491	0.4843	0.5	0.5	100
1.15	0.01	0.0075	0.1588	0.5	0.5	100
1.8	0.05	-1	-1	0.5	0.1	100
1.35	0.01	-1	-1	0.5	0.1	100
1.85	0.05	-1	-1	0.5	0.05	100
1.5	0.01	-1	-1	0.5	0.05	100
1.75	0.05	-1	-1	0.5	0.01	100
1.3	0.01	-1	-1	0.5	0.01	100
